,매장이름,상표,주소,휘발유,경유,세차장,충전소,경정비,편의점,24시
282,현대오일뱅크㈜직영 올림픽셀프주유소,현대오일뱅크,서울 송파구 위례성대로 188 (오금동),"1,698","1,868",ON,OFF,ON,ON,ON
283,(주)유진주유소,SK에너지,서울 송파구 동남로 325 (오금동),"1,698","1,839",ON,OFF,OFF,OFF,OFF
284,(주)정직한주유소,현대오일뱅크,서울 송파구 오금로 455 (거여동),"1,698","1,878",ON,OFF,OFF,OFF,OFF
285,현대오일뱅크㈜직영 서원주유소,현대오일뱅크,서울 송파구 중대로 154 (가락동),"1,698","1,868",ON,OFF,OFF,OFF,OFF
286,지에스칼텍스(주)가든파이브주유소,GS칼텍스,서울 송파구 탄천동로 740,"1,703","1,929",ON,OFF,OFF,ON,ON
287,지에스칼텍스(주)스마트위례주유소,GS칼텍스,서울 송파구 위례중앙로 43 (장지동),"1,703","1,929",ON,OFF,OFF,OFF,OFF
288,제트라인DM주유소,현대오일뱅크,서울 송파구 중대로 183 (가락동),"1,708","1,838",OFF,OFF,ON,OFF,OFF
289,(주)삼표에너지 우리주유소,GS칼텍스,서울 송파구 동남로 153,"1,715","1,855",ON,OFF,OFF,OFF,OFF
290,대성석유(주)석촌주유소,GS칼텍스,서울 송파구 백제고분로 289,"1,738","1,895",OFF,OFF,ON,OFF,OFF
291,(주)퍼스트오일서울주유소,S-OIL,서울 송파구 문정로 153,"1,758","1,890",OFF,OFF,OFF,OFF,OFF
292,대신석유(주)진양주유소,SK에너지,서울 송파구 올림픽로 499 (풍납동),"1,998","2,098",ON,OFF,OFF,OFF,OFF
293,양천구주유소,알뜰주유소,서울 양천구 국회대로 275 (목동),"1,574","1,825",ON,OFF,ON,OFF,ON
294,현대주유소,S-OIL,서울 양천구 남부순환로 372 (신월동),"1,577","1,819",ON,OFF,OFF,OFF,OFF
295,형산석유(주)원주유소,현대오일뱅크,서울 양천구 남부순환로 408,"1,594","1,839",ON,OFF,ON,OFF,ON
296,개나리Self주유소,SK에너지,서울 양천구 남부순환로 442 (신월동),"1,599","1,854",ON,OFF,ON,OFF,OFF
297,현대오일뱅크(주)직영 양정주유소,현대오일뱅크,서울 양천구 국회대로 158 (신정동),"1,619","1,814",OFF,OFF,OFF,OFF,OFF
298,지에스칼텍스㈜ 서호주유소,GS칼텍스,서울 양천구 남부순환로 317,"1,620","1,826",ON,OFF,ON,OFF,ON
299,SK에너지(주) 경인주유소,SK에너지,서울 양천구 국회대로 170 (신정동),"1,629","1,829",ON,OFF,OFF,OFF,OFF
300,(주)타이거오일 신정주유소,SK에너지,서울 양천구 중앙로 226 (신정동),"1,629","1,839",OFF,OFF,OFF,OFF,OFF
301,신월주유소,GS칼텍스,서울 양천구 신월로 193 (신월동),"1,629","1,845",OFF,OFF,OFF,OFF,OFF
302,가로공원주유소,SK에너지,서울 양천구 가로공원로 165 (신월동),"1,639","1,854",ON,OFF,OFF,OFF,ON
303,현대오일뱅크(주)직영 양천셀프주유소,현대오일뱅크,서울 양천구 목동로 17,"1,639","1,824",ON,OFF,OFF,OFF,OFF
304,삼미상사(주)신월IC셀프주유소,SK에너지,서울 양천구 중앙로 331 (신월동),"1,639","1,887",OFF,OFF,ON,OFF,OFF
305,SK에너지(주) 신평,SK에너지,서울 양천구 목동남로 62,"1,644","1,839",ON,OFF,ON,OFF,OFF
306,신정동주유소,현대오일뱅크,서울 양천구 안양천로 663 (신정동),"1,647","1,847",ON,OFF,OFF,ON,OFF
307,지에스이앤알 직영 서울주유소,GS칼텍스,서울 양천구 신정로 236 (신정동),"1,659","1,859",ON,OFF,OFF,OFF,OFF
308,현대오일뱅크㈜직영 목동셀프주유소,현대오일뱅크,서울 양천구 공항대로 648 (목동),"1,677","1,865",OFF,OFF,OFF,OFF,OFF
309,현대오일뱅크(주)직영 양천현대셀프주유소,현대오일뱅크,서울 양천구 안양천로 1179 (목동),"1,682","1,865",ON,ON,ON,ON,ON
310,지에스칼텍스㈜ 건지주유소,GS칼텍스,서울 양천구 안양천로 1171 (목동),"1,687","1,867",ON,OFF,OFF,OFF,OFF
311,(주)삼표에너지 목동주유소,GS칼텍스,서울 양천구 목동서로 129 (목동),"1,687","1,852",ON,OFF,OFF,OFF,OFF
312,목동주유소,SK에너지,서울 양천구 목동중앙로 125 (목동),"1,687","1,867",ON,OFF,OFF,OFF,OFF
313,(주)서부트럭터미날,현대오일뱅크,서울 양천구 신정로 167 (신정동),"1,689","1,899",ON,OFF,OFF,OFF,ON
314,현대오일뱅크(주)직영 신목동셀프주유소,현대오일뱅크,서울 양천구 목동동로10길 13,"1,689","1,855",ON,OFF,ON,OFF,OFF
315,신양주유소,SK에너지,서울 양천구 지양로 67,"1,799","1,919",ON,OFF,OFF,OFF,OFF
316,현대오일뱅크(주)갈월동주유소,현대오일뱅크,서울특별시 용산구  한강대로 322 (남영동),"1,810","1,890",ON,OFF,ON,OFF,OFF
317,동자동주유소,SK에너지,서울 용산구 한강대로104길 6 (동자동),"1,810","1,890",ON,OFF,OFF,OFF,OFF
318,현대오일뱅크(주)직영 소월길주유소,현대오일뱅크,서울 용산구 소월로 66 (후암동),"1,811","1,909",ON,OFF,OFF,OFF,OFF
319,현대오일뱅크㈜직영 강변현대주유소,현대오일뱅크,서울 용산구 원효로 9 (청암동),"1,852","1,913",ON,OFF,ON,OFF,OFF
320,현대오일뱅크㈜직영 한남동주유소,현대오일뱅크,서울 용산구 한남대로 204 (한남동),"1,877","1,889",ON,OFF,ON,OFF,OFF
321,(주)신태성주유소,SK에너지,서울 용산구 원효로 147 (원효로3가),"2,068","2,360",ON,OFF,OFF,OFF,OFF
322,(주)영원 풍기주유소,GS칼텍스,서울 용산구 원효로 178 (원효로2가),"2,098","2,179",OFF,OFF,OFF,OFF,OFF
323,(주)남경주유소,SK에너지,서울 용산구 녹사평대로11길 24,"2,110","2,469",ON,OFF,ON,OFF,ON
324,한석주유소,SK에너지,서울 용산구 이촌로 164,"2,179","2,622",ON,OFF,OFF,OFF,ON
325,한석주유소,SK에너지,서울 용산구 이촌로 164,"2,179","2,622",ON,OFF,OFF,OFF,ON
326,한석주유소,SK에너지,서울 용산구 이촌로 164,"2,179","2,622",ON,OFF,OFF,OFF,ON
327,서계주유소,GS칼텍스,서울 용산구  청파로 367 (청파동),"2,629","2,979",ON,OFF,OFF,OFF,OFF
328,타이거주유소,SK에너지,서울 은평구 수색로 188 (증산동),"1,634","1,824",ON,OFF,OFF,OFF,ON
329,불광주유소,현대오일뱅크,서울 은평구 연서로 314 (불광동),"1,647","1,822",ON,OFF,OFF,OFF,OFF
330,대성산업㈜ 대성주유소,GS칼텍스,서울 은평구 통일로 642,"1,649","1,869",ON,OFF,OFF,OFF,ON
331,다회주유소,S-OIL,서울 은평구 증산로 441 (신사동),"1,654","1,844",OFF,OFF,OFF,OFF,OFF
332,현대오일뱅크㈜직영 은평드림주유소,현대오일뱅크,서울 은평구 통일로 1151 (진관동),"1,657","1,832",ON,OFF,OFF,OFF,OFF
333,지에스칼텍스(주)수색뉴타운주유소,GS칼텍스,서울 은평구 수색로 350 (수색동),"1,665","1,845",ON,OFF,OFF,OFF,OFF
334,(주)명연에너지 수색훼미리주유소,현대오일뱅크,서울 은평구 수색로 236 (수색동),"1,674","1,830",ON,OFF,OFF,OFF,OFF
335,지에스칼텍스㈜ 서부주유소,GS칼텍스,서울 은평구 응암로 210 (응암동),"1,682","1,886",ON,OFF,ON,OFF,ON
336,지에스칼텍스㈜ 신사제일주유소,GS칼텍스,서울 은평구 증산로 423 (신사동),"1,682","1,886",ON,OFF,OFF,OFF,ON
