,title,isbn,publisher,pubdate,language
605,파이썬으로 배우는 알고리즘 트레이딩 (내 손으로 만드는 자동 주식 거래 시스템),9791158390631,위키북스,20170517,Python
606,Let’s Get IT 파이썬 프로그래밍 (데이터 분석 프로젝트로 프로그래밍 사고력 기르기),9791165215965,길벗,20210705,Python
607,RESTful 파이썬 웹 서비스 제작 (장고 플라스크 토네이도와 함께 하는 RESTful 웹 서비스),9791161750248,에이콘출판,20170724,Python
608,모두의 라즈베리 파이 with 파이썬 (누구나 쉽게 배우는 전자 회로 공작과 파이썬 프로그래밍),9791187345190,길벗,20160613,Python
609,The Python Standard Library by Example(한국어판) (예제로 배우는 파이썬 표준 라이브러리),9788960773103,에이콘출판,20120607,Python
610,Getting Start Python (제3판) (파이썬의 입문부터 응용까지 활용가능!),9791168751132,구민사,,Python
611,파이썬 오픈소스 도구를 활용한 악성코드 분석,9788960777651,에이콘출판,20150930,Python
612,플로우가 보이는 머신러닝 프로젝트 (우아한 머신러닝을 위한 완벽한 데이터 분석 with 파이썬),9791186710807,루비페이퍼,20220525,Python
613,COS Pro 2급 파이썬 (교재+모의고사) (프로그래머를 향한 출발점),9791160504101,길벗,20180215,Python
614,Tkinter 기반 파이썬 비주얼 프로그래밍 (Tkinter 기반),9791156009467,홍릉,20211230,Python
615,자연어 처리와 컴퓨터 언어학 (파이썬으로 개발하는 자연어 처리 서비스),9791161753140,에이콘출판,20190628,Python
616,엑셀과 비교하며 배우는 파이썬 데이터 분석,9791191600117,제이펍,20210617,Python
